case,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,class
1,7,5,3,6,86.2,26.2,94.3,5.1,8.2,51,6.7,0,Washington
2,7,4,10,3,90.6,35.4,669.1,6.7,18,33,0.9,0,California
3,7,4,10,7,90.6,43.7,686.9,6.7,14.6,33,1.3,0,Washington
4,8,6,3,6,91.7,33.3,77.5,9,8.3,97,4,0.2,California
5,8,6,3,11,89.3,51.3,102.2,9.6,11.4,99,1.8,0,Washington
6,8,6,8,1,92.3,85.3,488,14.7,22.2,29,5.4,0,New York
7,8,6,8,2,92.3,88.9,495.6,8.5,24.1,27,3.1,0,New York
8,8,6,8,2,91.5,145.4,608.2,10.7,8,86,2.2,0,Washington
9,8,6,9,3,91,129.5,692.6,7,13.1,63,5.4,0,California
10,7,5,9,7,92.5,88,698.6,7.1,22.8,40,4,0,Washington
11,7,5,9,7,92.5,88,698.6,7.1,17.8,51,7.2,0,Default
12,7,5,9,7,92.8,73.2,713,22.6,19.3,38,4,0,Default
13,6,5,8,6,63.5,70.8,665.3,0.8,17,72,6.7,0,Default
14,6,5,9,2,90.9,126.5,686.5,7,21.3,42,2.2,0,Default
15,6,5,9,4,92.9,133.3,699.6,9.2,26.4,21,4.5,0,Default
16,6,5,9,6,93.3,141.2,713.9,13.9,22.9,44,5.4,0,Default
17,5,5,3,7,91.7,35.8,80.8,7.8,15.1,27,5.4,0,Default
18,8,5,10,2,84.9,32.8,664.2,3,16.7,47,4.9,0,Default
19,6,4,3,4,89.2,27.9,70.8,6.3,15.9,35,4,0,Default
20,6,4,4,7,86.3,27.4,97.1,5.1,9.3,44,4.5,0,Default
21,6,4,9,3,91,129.5,692.6,7,18.3,40,2.7,0,Default
22,5,4,9,2,91.8,78.5,724.3,9.2,19.1,38,2.7,0,Default
23,7,4,6,1,94.3,96.3,200,56.1,21,44,4.5,0,Default
24,7,4,8,7,90.2,110.9,537.4,6.2,19.5,43,5.8,0,Default
25,7,4,8,7,93.5,139.4,594.2,20.3,23.7,32,5.8,0,Default
26,7,4,8,1,91.4,142.4,601.4,10.6,16.3,60,5.4,0,Default
27,7,4,9,6,92.4,117.9,668,12.2,19,34,5.8,0,Default
